identifier,registry,lane,ledger_compound,intervention,population,n,primary_cognitive_outcome,registry_status,expected_readout,prediction,pred_g,pred_ci_lo,pred_ci_hi,prediction_basis,prediction_reason,endpoint_tier,prediction_date,rule_committed_at,status,actual_outcome,url
NCT06530459,ClinicalTrials.gov,hormonal,menopausal_hormone_therapy,"Menopausal hormone therapy: ""17beta-estradiol topical gel (1.25-2.5 gms) applied daily"" plus ""micronized Progesterone 200mg daily for 12 days each month"", for 12 weeks. Four arms: exercise alone, MHT alone, MHT + strength training, and standard care. The compound-plus-training arm is the design the brief flags as especially interesting.","BORDERLINE-HEALTHY, stated explicitly. Healthy-volunteers flag is true; women only, ages 30-59. Participants are menopausal/perimenopausal women with multi-site arthralgia of at least 3 months - so they are symptomatic for joint pain but are not a cognitive, neurological or psychiatric patient group. Exclusions remove ""History of thrombo-embolic diseases, strokes, ischemic heart disease, dementia or psychiatric disorders"", active malignancy, recent hormone therapy, current smoking and BMI>35. Judgement: cognitively healthy adults, with an arthralgia inclusion criterion that should be stated in any prediction.",100 (ESTIMATED enrolment),"Cognition is secondary. The objective measure is ""Changes in verbal memory measured using the Hopkins Verbal Learning Test"" at 12 weeks. The primary outcome is unrelated - relative change in perceived arthralgia on the 10-item Orebro Musculoskeletal Pain Screening Questionnaire. Other secondaries are handgrip strength, isokinetic knee extension, physical performance battery, Menopause Rating Scale, PSQI, GAD-7, CES-D, SF-12 and HOMA-IR.",RECRUITING,"Primary completion date 2027-04 (ESTIMATED); study completion date 2028-04 (ESTIMATED); start date 2024-08-01 (ESTIMATED); last update posted 2024-07-31. hasResults is false. Note the record has not been updated in over two years, so the dates carry more than usual uncertainty.",NULL,-0.161,-0.666,0.344,ledger:Andy 2024 Front Endocrinol,"pooled interval [-0.67, 0.34] spans 0",secondary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT06530459
NCT07231497,ClinicalTrials.gov,stimulant,modafinil,"Modafinil, single oral dose (dose not stated in the registration), Phase 3","MIXED / INTERNALLY CONTRADICTORY — flagging explicitly as instructed. The registry condition list reads ""Cognition"" and ""Healthy Participants"", healthyVolunteers flag = true, and the brief summary states the modafinil is given to people WITHOUT psychosis. But the eligibility criteria are written for a patient cohort, requiring outpatient clinical stability for at least one month and stable medication doses, and the title and secondary outcome (BPRS psychiatric rating) are psychosis-oriented. Ages 18-35. I could not resolve whether the modafinil arm is healthy controls only or a mixed sample. Do NOT treat this as a clean healthy-adult trial without contacting the investigators.",103 (estimated enrolment),"Test My Brain battery: Digit Symbol Coding (processing speed), Verbal Paired Associates Memory, Matrix Reasoning, plus Dot Pattern Expectancy (TOPX) and Translational Bandit Task accuracy and response time — all objective performance measures",Recruiting,Primary completion and completion both 2030-04-30 (ESTIMATED); last update posted 2026-02-17. Long-dated — over three years out.,NULL,0.12,0.02,0.21,ledger:Roberts 2020 Eur Neuropsychopharmacol,"pooled interval [0.02, 0.21] excludes 0 but g=0.12 is below the 0.20 floor, so a single trial is not expected to reach significance",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07231497
NCT07242430,ClinicalTrials.gov,nutraceutical,multivitamin_mineral,"Multivitamin/mineral supplement (described in the summary as multi-vitamin/mineral and herbal-extract-containing), 1 tablet per day for 12 weeks, vs placebo","Women aged 40-60 who self-assess as healthy and report troublesome perimenopause symptoms but are not post-menopausal. Judgement: healthy adults. Same exclusion set as the magnesium arm, including any medication with strong likelihood of effects on cognition.",58 (ESTIMATED),"Numeric working memory % accuracy and reaction time; plus 3-back accuracy/RT, Corsi blocks task score, alphabetic working memory, and word/picture recognition accuracy and RT, all as co-primaries",ACTIVE_NOT_RECRUITING,Primary completion 2026-10-25 (estimated); overall completion 2026-12-08 (estimated); last update posted 2026-08-05,NULL,0.07,0.03,0.11,ledger:Vyas 2024 Am J Clin Nutr,"pooled interval [0.03, 0.11] excludes 0 but g=0.07 is below the 0.20 floor, so a single trial is not expected to reach significance",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07242430
NCT07814300,ClinicalTrials.gov,nutraceutical,omega_3,"DHA-dominant algae-based omega-3 formulation, approximately 950 mg DHA and 350 mg EPA daily for 12 weeks, vs placebo","Healthy women aged 40-60 experiencing perimenopause or menopause. Judgement: healthy adults. Diagnosed psychiatric/neurological conditions, stroke, cardiovascular disease and diabetes are excluded, as is current HRT use. Not a patient group.",42 (ACTUAL enrolment),Verbal memory via the Rey Auditory Verbal Learning Test (RAVLT); plus working memory via Digit Span Test and the Stroop Test as co-primaries,ACTIVE_NOT_RECRUITING,Primary completion 2026-08-30 (ACTUAL); overall completion 2026-10 (estimated); first posted and last updated 2026-09-10,NULL,0.0411,-0.1078,0.1899,ledger:Wei 2024 BMC Medicine,"pooled interval [-0.11, 0.19] spans 0",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07814300
CRD420251266075,PROSPERO,nutraceutical,anthocyanins,"Blackcurrant-based supplements (anthocyanin-rich berry polyphenol), acute and chronic intervention trials. Registry Intervention field confirmed to contain 'blackcurrant'. No dose/duration readable from the fields I could query.","Healthy adults. Judgement: healthy adults. The registered title states it, and a field-scoped query confirms the Population[PA] field contains 'healthy'.",not stated,"Field-scoped queries confirm the Main outcomes[OP] field contains memory, attention and executive (function); the specific instruments are not readable from the index fields I could query. Mood is a secondary domain in the title.",Ongoing,No anticipated completion date readable. PROSPERO registration date (RIS DP field) 02/03/2026; review status Ongoing as of this session; record is live and within the registry's 'last 6 months' bucket.,POSITIVE,0.46,0.3,0.63,ledger:Micek 2025 GeroScience,"pooled interval [0.30, 0.63] lies entirely above 0 and g=0.46 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420251266075
CRD420251163859,PROSPERO,reviews,caffeine,"Single oral dose of caffeine, dosage clearly quantified, versus placebo. Randomized trials only, laboratory settings only.","Healthy adults aged over 18 with no pre-existing cognitive impairments or medical conditions affecting working memory or caffeine metabolism; self-reported or clinically diagnosed psychiatric disorders excluded. HEALTHY ADULTS: yes, clean.",not stated (systematic review; no target number of included studies given),"Working memory performance, explicitly via the N-back task (2-back, 3-back), with accuracy and reaction time as the outcome metrics.",Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'Stable'),"Registered 08 October 2025, record last dated 03 November 2025. Stated review start date 8 October 2025, end date 31 December 2025 — end date has PASSED while status remains Ongoing, i.e. completed-but-unpublished. PubMed shows no caffeine x working-memory meta-analysis published.",POSITIVE,0.28,0.21,0.36,ledger:Klove & Petersen 2025 Psychopharmacology,"pooled interval [0.21, 0.36] lies entirely above 0 and g=0.28 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420251163859
NCT05325502,ClinicalTrials.gov,stimulant,caffeine,"Caffeine 200 mg in the morning plus 100 mg in the afternoon, daily for 7 days, vs. matched mannitol placebo (200 mg AM / 100 mg PM)","Clinically healthy non-smokers aged 18-40, habitual caffeine intake 100-450 mg/day; depression, anxiety, psychosis, neurologic, cardiovascular and metabolic disease excluded. Registry healthyVolunteers flag = true. My judgement: HEALTHY ADULTS.",36 (estimated enrolment),"Accuracy (percent correct) in implicit learning under differing probabilities of monetary reward feedback, measured by the Probabilistic Selection Task test phase; Go/NoGo false-alarm rate secondary","Active, not recruiting",Primary completion 2025-12-31 (ACTUAL — primary data collection is finished); overall completion 2026-12-31 (ESTIMATED); last update posted 2026-03-17. Near-term readout.,POSITIVE,0.28,0.21,0.36,ledger:Klove & Petersen 2025 Psychopharmacology,"pooled interval [0.21, 0.36] lies entirely above 0 and g=0.28 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT05325502
NCT05588934,ClinicalTrials.gov,stimulant,caffeine,"Caffeine gum, 100 mg per piece, vs. non-caffeinated placebo gum; dosing schedule personalized by the 2B-Alert algorithm vs. standard recommended dosing, across total sleep deprivation","Healthy adults aged 18-39, habitual sleep 6-9 h/night. Registry healthyVolunteers flag = true. My judgement: HEALTHY ADULTS, unambiguously — sleep deprivation is an experimentally imposed challenge, not a patient condition.",180 (estimated enrolment),Mean psychomotor vigilance test (PVT) reaction time during the Peak Alertness Window — sole primary outcome,Recruiting,"Primary completion and completion both 2026-03 (ESTIMATED); last update posted 2025-11-04. Note the estimated date has now passed while status remains Recruiting, so the date is soft.",POSITIVE,0.28,0.21,0.36,ledger:Klove & Petersen 2025 Psychopharmacology,"pooled interval [0.21, 0.36] lies entirely above 0 and g=0.28 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT05588934
NCT06763172,ClinicalTrials.gov,stimulant,caffeine,"Caffeine 200 mg orally, administered 20 minutes before simultaneous PET/fMRI acquisition, vs. lactose tablet placebo","Clinically healthy non-smokers aged 18-45 with habitual caffeine intake 100-450 mg/day; depression, anxiety, psychosis and neurologic disorders excluded. Registry healthyVolunteers flag = true. My judgement: HEALTHY ADULTS.",12 (estimated enrolment),Reinforcement learning accuracy on the Probabilistic Selection Task (PST) performed in fMRI — a co-primary alongside [11C]raclopride D2/D3 receptor availability; Go/NoGo motor inhibition accuracy is secondary,Recruiting,Primary completion and completion both 2026-12-31 (ESTIMATED); last update posted 2025-01-09,POSITIVE,0.28,0.21,0.36,ledger:Klove & Petersen 2025 Psychopharmacology,"pooled interval [0.21, 0.36] lies entirely above 0 and g=0.28 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT06763172
NCT07469852,ClinicalTrials.gov,stimulant,caffeine,"Caffeine anhydrous 300 mg in 3 capsules vs. matched placebo capsules vs. a no-pill control arm; randomized crossover, morning testing","Healthy males aged 18-35 with >=2 years weight/strength training experience, low habitual caffeine consumers (<=150 mg/day); depressed mood, poor sleep quality and extreme chronotype excluded. Registry healthyVolunteers flag = true. My judgement: HEALTHY ADULTS (male only).",15 (estimated enrolment),"Three objective cognitive tests are listed among the primary outcomes: Trail Making Test parts A and B time to completion in seconds, Rey Auditory Verbal Learning Test, and the Stroop word-colour interference test","Active, not recruiting","Primary completion and completion both 2026-03-25 (ESTIMATED); last update posted 2026-03-13. Date has passed, so this is likely completed-but-unreported.",POSITIVE,0.28,0.21,0.36,ledger:Klove & Petersen 2025 Psychopharmacology,"pooled interval [0.21, 0.36] lies entirely above 0 and g=0.28 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07469852
CRD420261499408,PROSPERO,reviews,caffeine_plus_taurine,"Acute co-ingestion of taurine and caffeine (nutritional supplement), versus placebo. Both randomized and non-randomized study types eligible.","Physically active young adults. HEALTHY ADULTS: yes — an athletic/active healthy population, not a patient group. Note this is a fitness-selected sample, so it is healthy but not general-population.",not stated (systematic review; no target number of included studies given),"'Cognitive Functions and Executive Performance' — reaction time (simple and choice), information processing speed, inhibitory control, cognitive flexibility, via Stroop Color and Word Test, Trail Making Test, light-based reaction systems (ReactionX/BlazePod) and N-back tasks. Hedges' g. Measured pre-exercise after the absorption window and/or immediately post-exhaustive exercise. Cognition sits alongside physical-performance, cardiovascular and metabolic outcomes.",Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'Stable'),"Registered 07 September 2026 — 13 days ago, the most recently registered PROSPERO record in this lane. Stated review start date 6 September 2026, end date 30 December 2026.",POSITIVE,0.53,0.03,1.07,ledger:J Int Soc Sports Nutr 2025,"pooled interval [0.03, 1.07] lies entirely above 0 and g=0.53 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420261499408
CRD420261386551,PROSPERO,reviews,cocoa_flavanols,"Acute cocoa intake — cocoa-based beverages, chocolate, or cocoa-derived products standardized for flavanol or polyphenol content. Comparator: low-polyphenol cocoa. Randomized trials only.","'Healthy adults (≥18 years), without diagnosed neurological or psychiatric conditions.' HEALTHY ADULTS: yes, clean.",not stated (systematic review; no target number of included studies given),"Attention (reaction time, vigilance, processing speed) and working memory, as co-primary outcomes. Synthesized as Hedges' g with effect directions reversed where lower scores indicate better performance. Mood and mental fatigue are secondary only.",Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'Stable'),"Registered 04 May 2026 (record dated 07 May 2026). Stated review start date 4 May 2026, end date 25 June 2026 — end date has PASSED while status remains Ongoing. Distinct from the published PMID 42641106 (Aug 2026), which covers CHRONIC dark chocolate/cocoa intake; this registration is acute-only.",POSITIVE,0.224,0.014,0.434,ledger:Cheng 2022 Mol Nutr Food Res,"pooled interval [0.01, 0.43] lies entirely above 0 and g=0.22 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420261386551
ISRCTN29176549,ISRCTN,nonus,cocoa_flavanols,Daily cocoa powder 15.5 g in 250 ml cold water or milk for 8 weeks; high-flavanol arm approximately 660 mg flavanols versus low-flavanol control arm approximately 36 mg flavanols. Acute-within-chronic double-blind randomised placebo-controlled parallel design.,"Condition field reads ""Healthy volunteers""; inclusion criteria are ""Healthy male or female"" and ""Aged between 18 to 40 years old OR above 65 years old"". Judgement: HEALTHY ADULTS — clean, spanning two distinct age strata (50 young, 50 older).",100 (target; 50 young adults and 50 older adults). Enrolment ongoing.,"CAVEAT — the objective cognitive tests are SECONDARY, not primary. Named secondary outcome: ""Executive function accuracy and reaction time (indicator of cognitive performance)"" measured by a ""Modified Attention Network Task"", a ""Switch Task"", and a ""Modified Stroop Task assesses selective attention and prepotent response inhibition during decision making"". The primary outcome is prefrontal oxygenated/deoxygenated haemoglobin by broadband near-infrared spectroscopy, which is a biomarker.",Active / ongoing; recruitment 01 October 2024 to 31 October 2026. Record last updated 10 September 2024. No publications or results reported.,Overall study end date 31 December 2026; recruitment ends 31 October 2026.,POSITIVE,0.224,0.014,0.434,ledger:Cheng 2022 Mol Nutr Food Res,"pooled interval [0.01, 0.43] lies entirely above 0 and g=0.22 reaches the 0.20 floor",secondary,2026-09-20,2baedf8,PENDING,,https://www.isrctn.com/api/query/format/default?q=ISRCTN29176549
NCT05519644,ClinicalTrials.gov,hormonal,exogenous_ketones,"Exogenous ketone ester taken twice daily during short-term sleep restriction. The registry describes it as ""a diester of hexanoic acid (a ketogenic medium chain fatty acid) and (R)-1,3 butanediol (C6 Di-ester)"". Per-dose amount not stated; protocol runs up to about 4 weeks with controlled feeding.","HEALTHY ADULTS - clean fit. Healthy-volunteers flag true; ages 18-40. Inclusion requires no health condition preventing completion; exclusions remove BMI>35, diagnosed sleep disorders (apnoea, insomnia), diabetes or metabolic dysfunction, major psychiatric disorders, GI disorders and recent ketogenic dieting. Sleep restriction is an experimental manipulation applied to healthy people, not a patient characteristic. Oriented toward military-relevant performance.",60 (ESTIMATED enrolment),"Objective cognition is PRIMARY here, which is unusual and valuable. Named primary measures: ""Automated Neuropsychological Assessment Metrics (ANAM)"", ""Cambridge Neuropsychological Test Automated Battery. (CANTAB)"", ""Gradual-onset Continuous Performance Task (GRAD-CPT"" and ""Face-Name Task"" (all time-framed ""Up to ~4 weeks""), alongside separate marksmanship and jump-power primaries.",ACTIVE_NOT_RECRUITING,Primary completion date 2026-09 (ESTIMATED); study completion date 2026-09 (ESTIMATED); start date 2023-06-20 (ACTUAL); last update posted 2026-06-01. hasResults is false. This is the nearest-term readout in the lane - the estimated completion month is the current month.,POSITIVE,0.36,0.18,0.54,ledger:Bonnechere 2026 Frontiers in Nutrition,"pooled interval [0.18, 0.54] lies entirely above 0 and g=0.36 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT05519644
NCT07051655,ClinicalTrials.gov,hormonal,exogenous_ketones,"Ketone monoester at 357 mg/kg body weight versus placebo, acute crossover design.","HEALTHY ADULTS with a stated BMI split. Healthy-volunteers flag true; ages 19-55. Three groups: obese sedentary (BMI 30-40), lean sedentary (BMI 18-25) and lean athletic (BMI 18-25, structured activity 5+ days/week). Exclusions remove neurological conditions, seizure history, and medications for diabetes, mood or attention disorders. Judgement: healthy adults, but one of the three strata is defined by obesity, so any prediction should specify which stratum it applies to.",45 (ESTIMATED enrolment),"Objective cognition is PRIMARY: ""NIH Toolbox Cognition Battery Composite Score and Domain-Specific Subtests"" reported separately for Executive function, Attention, Processing Speed and Memory, measured on Test Days 1 and 2. Secondaries add Senaptec Sensory Station visual working memory and processing speed, and driving-simulator reaction time.",RECRUITING,Primary completion date 2027-07-31 (ESTIMATED); study completion date 2027-07-31 (ESTIMATED); start date 2025-12-01; last update posted 2026-07-13. hasResults is false.,POSITIVE,0.36,0.18,0.54,ledger:Bonnechere 2026 Frontiers in Nutrition,"pooled interval [0.18, 0.54] lies entirely above 0 and g=0.36 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07051655
CRD420251160876,PROSPERO,nutraceutical,l_theanine,L-theanine supplementation. Dose/duration not readable from the fields I could query.,Healthy adults. Judgement: healthy adults. Population[PA] field confirmed to contain both 'healthy' and 'adults'.,not stated,"Field-scoped queries confirm the Main outcomes[OP] field contains attention, memory and cognitive; specific instruments not readable from the index.",Ongoing,No anticipated completion date readable. PROSPERO registration date (RIS DP field) 03/10/2025; review status Ongoing as of this session.,POSITIVE,0.35,0.1,0.61,ledger:Payne 2025 Nutrition Reviews,"pooled interval [0.10, 0.61] lies entirely above 0 and g=0.35 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420251160876
NCT07408180,ClinicalTrials.gov,cholinergic,nicotine,"Dissolvable oral nicotine tablet (mint flavour) at five nicotine contents — 0 mg, 0.5 mg, 1.0 mg, 1.5 mg, 2.0 mg — used for approximately 10 minutes, double-blind crossover. This is a true dose-response design, which is unusual and makes it more informative than a single-dose comparison.","Adults 19-60, healthy-volunteers flag true, condition listed as 'Attention'. Participants are current non-daily users of nicotine pouches (past 30-day use) who express no desire to quit; excluded if using NRT or cessation medication, if urine cotinine exceeds 500 ng/mL, or if exhaled CO is at least 10 ppm. My judgement: healthy adults, NOT a patient group — but explicitly nicotine-experienced rather than nicotine-naive, which matters because acute nicotine effects in users can partly reflect relief of mild abstinence rather than net enhancement.",40 (actual),"Change in attentional performance 15 minutes after the start of product use, assessed with the Conners Continuous Performance Test (CPT). Secondary outcome repeats the CPT at 2 hours to probe sustained effects.",Completed,"Primary completion 2026-03-16, study completion 2026-04-23, last update posted 2026-05-05. No results have been posted to the registry (resultsFirstPostDate is absent). Readout is therefore pending and overdue rather than scheduled.",POSITIVE,0.34,0.18,0.5,ledger:Heishman 2010 Psychopharmacology,"pooled interval [0.18, 0.50] lies entirely above 0 and g=0.34 reaches the 0.20 floor",primary,2026-09-20,2baedf8,PENDING,,https://clinicaltrials.gov/study/NCT07408180
CRD420261280163,PROSPERO,hormonal,oxytocin,"Exogenous oxytocin (registration lists interventions as ""Oxytocin; Social Support"") versus placebo. Randomised trials only. Dose and route are not specified in the registration. Both published and unpublished studies will be sought.","HEALTHY ADULTS as stated by the registrants - the Population field reads, in full, ""Healthy population( No cognitive impairment)"". That is an explicit healthy, cognitively-unimpaired restriction. Caveat: the registration is terse throughout and gives no age range or further characterisation, so 'healthy' is the registrants' assertion rather than a detailed eligibility specification.",Not stated - target number of included studies or participants is not pre-specified.,"Stated only as ""Cognitive Level Score ;Cognitive Assessment Scale"", with ""Participation in Social Activities"" as an additional outcome. WEAKNESS TO NOTE: this wording does not name a specific instrument, so while it implies an administered cognitive assessment rather than self-report, it is too vague to pin a tight prediction to a particular test. Synthesis via RevMan with forest plots, sensitivity and heterogeneity analysis.","Registered; review status ""The review is currently planned or ongoing."" No review stage marked started.","Registration states ""Start date: 7 January 2026. End date: 1 April 2026."" Date of registration in PROSPERO 07 January 2026. The stated end date has already passed without publication, so this is an overdue-but-outstanding readout rather than a forward-dated one.",POSITIVE,0.29,0.154,0.429,ledger:Shahrestani 2013 Neuropsychopharmacology,"pooled interval [0.15, 0.43] lies entirely above 0 and g=0.29 reaches the 0.20 floor",secondary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420261280163
